"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"y:\mc\app\view\assets\scripts\page.js", "JavaScript", 0, 0, -16, 0, 0, -16
"y:\mc\app\view\index.html", "HTML", -110, 0, 0, 0, 1, -109
"y:\mc\view\assets\components\checkbox.js", "JavaScript", 0, 0, 1, 0, 0, 1
"y:\mc\view\assets\components\page\Settings.js", "JavaScript", 0, 0, 24, 0, 2, 26
"y:\mc\view\assets\components\page\gameSetting.js", "JavaScript", 0, 0, 152, 1, 4, 157
"y:\mc\view\assets\components\page\generalSetting.js", "JavaScript", 0, 0, 59, 0, 2, 61
"y:\mc\view\assets\components\page\globleSetting.js", "JavaScript", 0, 0, -160, 0, -4, -164
"y:\mc\view\assets\components\page\launcherSetting.js", "JavaScript", 0, 0, -68, 0, -3, -71
"y:\mc\view\assets\scripts\onload.js", "JavaScript", 0, 0, -2, 0, 0, -2
"y:\mc\view\assets\scripts\ui.js", "JavaScript", 0, 0, 148, 2, 8, 158
"y:\mc\view\assets\styles\animation.css", "CSS", 0, 0, 0, 0, 19, 19
"y:\mc\view\assets\styles\control.css", "CSS", 0, 134, 0, 3, 25, 162
"y:\mc\view\assets\styles\font-icon.css", "CSS", 0, 8, 0, 0, 19, 27
"y:\mc\view\assets\styles\font.css", "CSS", 0, -3, 0, 0, 0, -3
"y:\mc\view\assets\styles\index.css", "CSS", 0, 16, 0, -21, 31, 26
"y:\mc\view\index.html", "HTML", 1, 0, 0, 1, 0, 2
"Total", "-", -109, 155, 138, -14, 104, 274
