"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "Ignore", "comment", "blank", "total"
"y:\mc\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\app\main.js", "JavaScript", 133, 0, 0, 0, 0, 0, 39, 11, 183
"y:\mc\app\module\download.mjs", "JavaScript", 162, 0, 0, 0, 0, 0, 23, 15, 200
"y:\mc\app\package-lock.json", "JSON", 0, 0, 822, 0, 0, 0, 0, 1, 823
"y:\mc\app\package.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 11
"y:\mc\app\view\assets\images\loading.svg", "XML", 0, 0, 0, 0, 118, 0, 0, 0, 118
"y:\mc\app\view\assets\scripts\auth.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"y:\mc\app\view\assets\scripts\input.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 3, 47
"y:\mc\app\view\assets\scripts\installer.js", "JavaScript", 73, 0, 0, 0, 0, 0, 1, 2, 76
"y:\mc\app\view\assets\scripts\jquery-ui.min.js", "JavaScript", 8217, 0, 0, 0, 0, 0, 4, 1, 8222
"y:\mc\app\view\assets\scripts\jquery.js", "JavaScript", 3703, 0, 0, 0, 0, 0, 1, 0, 3704
"y:\mc\app\view\assets\scripts\loadconfig.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"y:\mc\app\view\assets\scripts\page.js", "JavaScript", 63, 0, 0, 0, 0, 0, 4, 7, 74
"y:\mc\app\view\assets\scripts\ui.js", "JavaScript", 296, 0, 0, 0, 0, 0, 46, 15, 357
"y:\mc\app\view\assets\scripts\window.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\app\view\assets\styles\animation.css", "CSS", 0, 0, 0, 107, 0, 0, 6, 20, 133
"y:\mc\app\view\assets\styles\control.css", "CSS", 0, 0, 0, 229, 0, 0, 6, 43, 278
"y:\mc\app\view\assets\styles\font-icon.css", "CSS", 0, 0, 0, 74, 0, 0, 0, 16, 90
"y:\mc\app\view\assets\styles\font.css", "CSS", 0, 0, 0, 93, 0, 0, 1, 17, 111
"y:\mc\app\view\assets\styles\index.css", "CSS", 0, 0, 0, 717, 0, 0, 23, 101, 841
"y:\mc\app\view\index.html", "HTML", 0, 448, 0, 0, 0, 0, 9, 13, 470
"y:\mc\app\view\renderer.js", "JavaScript", 32, 0, 0, 0, 0, 0, 1, 5, 38
"y:\mc\main.js", "JavaScript", 137, 0, 0, 0, 0, 0, 31, 9, 177
"y:\mc\package-lock.json", "JSON", 0, 0, 7963, 0, 0, 0, 0, 1, 7964
"y:\mc\package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 1, 58
"y:\mc\src\Deprecated\download.mjs", "JavaScript", 212, 0, 0, 0, 0, 0, 27, 15, 254
"y:\mc\src\game\launch.mjs", "JavaScript", 213, 0, 0, 0, 0, 0, 16, 8, 237
"y:\mc\src\http\download.mjs", "JavaScript", 94, 0, 0, 0, 0, 0, 18, 9, 121
"y:\mc\src\installer\minecraft.mjs", "JavaScript", 168, 0, 0, 0, 0, 0, 19, 12, 199
"y:\mc\test.mjs", "JavaScript", 89, 0, 0, 0, 0, 0, 7, 8, 104
"y:\mc\view\assets\components\cardHeader.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 1, 23
"y:\mc\view\assets\components\checkbox.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 1, 23
"y:\mc\view\assets\components\commandButton.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 14
"y:\mc\view\assets\components\inputColor.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 14
"y:\mc\view\assets\components\inputText.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 1, 15
"y:\mc\view\assets\components\loading.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 14
"y:\mc\view\assets\components\page\Settings.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 2, 28
"y:\mc\view\assets\components\page\accountSetting.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 2, 60
"y:\mc\view\assets\components\page\downloadPage.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 2, 43
"y:\mc\view\assets\components\page\gameSetting.js", "JavaScript", 152, 0, 0, 0, 0, 0, 1, 4, 157
"y:\mc\view\assets\components\page\generalSetting.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 2, 34
"y:\mc\view\assets\components\sidebar.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
