"filename", "language", "JavaScript", "CSS", "HTML", "XML", "JSON", "comment", "blank", "total"
"y:\mc\app\main.js", "JavaScript", -133, 0, 0, 0, 0, -39, -11, -183
"y:\mc\app\module\download.mjs", "JavaScript", -162, 0, 0, 0, 0, -23, -15, -200
"y:\mc\app\package-lock.json", "JSON", 0, 0, 0, 0, -822, 0, -1, -823
"y:\mc\app\package.json", "JSON", 0, 0, 0, 0, -11, 0, 0, -11
"y:\mc\app\view\assets\images\loading.svg", "XML", 0, 0, 0, -118, 0, 0, 0, -118
"y:\mc\app\view\assets\scripts\auth.js", "JavaScript", -11, 0, 0, 0, 0, 0, -1, -12
"y:\mc\app\view\assets\scripts\input.js", "JavaScript", -44, 0, 0, 0, 0, 0, -3, -47
"y:\mc\app\view\assets\scripts\installer.js", "JavaScript", -73, 0, 0, 0, 0, -1, -2, -76
"y:\mc\app\view\assets\scripts\jquery-ui.min.js", "JavaScript", -8217, 0, 0, 0, 0, -4, -1, -8222
"y:\mc\app\view\assets\scripts\jquery.js", "JavaScript", -3703, 0, 0, 0, 0, -1, 0, -3704
"y:\mc\app\view\assets\scripts\loadconfig.js", "JavaScript", -8, 0, 0, 0, 0, 0, -1, -9
"y:\mc\app\view\assets\scripts\page.js", "JavaScript", -63, 0, 0, 0, 0, -4, -7, -74
"y:\mc\app\view\assets\scripts\ui.js", "JavaScript", -296, 0, 0, 0, 0, -46, -15, -357
"y:\mc\app\view\assets\scripts\window.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"y:\mc\app\view\assets\styles\animation.css", "CSS", 0, -107, 0, 0, 0, -6, -20, -133
"y:\mc\app\view\assets\styles\control.css", "CSS", 0, -229, 0, 0, 0, -6, -43, -278
"y:\mc\app\view\assets\styles\font-icon.css", "CSS", 0, -74, 0, 0, 0, 0, -16, -90
"y:\mc\app\view\assets\styles\font.css", "CSS", 0, -93, 0, 0, 0, -1, -17, -111
"y:\mc\app\view\assets\styles\index.css", "CSS", 0, -717, 0, 0, 0, -23, -101, -841
"y:\mc\app\view\index.html", "HTML", 0, 0, -448, 0, 0, -9, -13, -470
"y:\mc\app\view\renderer.js", "JavaScript", -32, 0, 0, 0, 0, -1, -5, -38
"Total", "-", -12742, -1220, -448, -118, -833, -164, -273, -15798
