"filename", "language", "JavaScript", "HTML", "Markdown", "JSON", "CSS", "Ignore", "XML", "comment", "blank", "total"
"y:\mc\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 11, 25
"y:\mc\main.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 12, 11, 159
"y:\mc\package-lock.json", "JSON", 0, 0, 0, 8260, 0, 0, 0, 0, 1, 8261
"y:\mc\package.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"y:\mc\src\game\launch.mjs", "JavaScript", 213, 0, 0, 0, 0, 0, 0, 16, 8, 237
"y:\mc\src\http\download.mjs", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 18, 9, 121
"y:\mc\src\installer\fabric.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\installer\minecraft.mjs", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 19, 12, 199
"y:\mc\test.mjs", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 7, 8, 104
"y:\mc\view\app\components\card.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 3, 1, 33
"y:\mc\view\app\components\cardHeader.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"y:\mc\view\app\components\checkbox.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"y:\mc\view\app\components\commandButton.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"y:\mc\view\app\components\inputText.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"y:\mc\view\app\components\loading.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\mc\view\app\components\page\AccountSetting.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 2, 59
"y:\mc\view\app\components\page\AdvancedSetting.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 2, 75
"y:\mc\view\app\components\page\AppearanceSettings.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"y:\mc\view\app\components\page\DashboardPage.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"y:\mc\view\app\components\page\DownloadPage.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"y:\mc\view\app\components\page\DownloadSetting.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 2, 62
"y:\mc\view\app\components\page\EasyuseSetting.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 3, 68
"y:\mc\view\app\components\page\GameSetting.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 5, 145
"y:\mc\view\app\components\page\GeneralSetting.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"y:\mc\view\app\components\page\Settings.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"y:\mc\view\app\components\sidebar.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"y:\mc\view\app\components\sidebarItem.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"y:\mc\view\app\components\sliderBar.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 2, 73
"y:\mc\view\app\components\window\colorChooser.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 64
"y:\mc\view\app\components\window\gameInstall.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"y:\mc\view\app\components\window\msLogin.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"y:\mc\view\app\core\auth.js", "JavaScript", 252, 0, 0, 0, 0, 0, 0, 12, 12, 276
"y:\mc\view\app\core\installer.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 1, 6, 76
"y:\mc\view\app\onload.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 7, 5, 150
"y:\mc\view\app\tools\LoadConfigs.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 25, 4, 37
"y:\mc\view\app\view\Button.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"y:\mc\view\app\view\Card.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 0, 33
"y:\mc\view\app\view\Control.js", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 0, 9, 177
"y:\mc\view\app\view\Page.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"y:\mc\view\app\view\PopupWindow.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"y:\mc\view\app\view\Sidebar.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"y:\mc\view\assets\images\loading.svg", "XML", 0, 0, 0, 0, 0, 0, 118, 0, 0, 118
"y:\mc\view\assets\styles\animation.css", "CSS", 0, 0, 0, 0, 163, 0, 0, 3, 35, 201
"y:\mc\view\assets\styles\control.css", "CSS", 0, 0, 0, 0, 521, 0, 0, 15, 94, 630
"y:\mc\view\assets\styles\font-icon.css", "CSS", 0, 0, 0, 0, 176, 0, 0, 0, 46, 222
"y:\mc\view\assets\styles\font.css", "CSS", 0, 0, 0, 0, 95, 0, 0, 1, 20, 116
"y:\mc\view\assets\styles\index.css", "CSS", 0, 0, 0, 0, 949, 0, 0, 34, 172, 1155
"y:\mc\view\index.html", "HTML", 0, 75, 0, 0, 0, 0, 0, 10, 4, 89
"y:\mc\view\renderer.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 1, 7, 69
"y:\mc\view\vendor\ac-colors.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 24, 1, 26
"y:\mc\view\vendor\hsvToRgb.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 1, 85
"y:\mc\view\vendor\jquery-ui.min.js", "JavaScript", 8217, 0, 0, 0, 0, 0, 0, 4, 1, 8222
"y:\mc\view\vendor\jquery.js", "JavaScript", 3703, 0, 0, 0, 0, 0, 0, 1, 0, 3704
"y:\mc\view\vendor\vue.js", "JavaScript", 13103, 0, 0, 0, 0, 0, 0, 1950, 120, 15173
"Total", "-", 27548, 75, 14, 8316, 1904, 0, 118, 2167, 655, 40797
