"filename", "language", "JavaScript", "HTML", "CSS", "Markdown", "JSON", "comment", "blank", "total"
"y:\mc\README.md", "Markdown", 0, 0, 0, -13, 0, 24, -11, 0
"y:\mc\a.html", "HTML", 0, 29, 0, 0, 0, 0, 5, 34
"y:\mc\main.js", "JavaScript", -15, 0, 0, 0, 0, -9, -7, -31
"y:\mc\package-lock.json", "JSON", 0, 0, 0, 0, 655, 0, 0, 655
"y:\mc\package.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 7
"y:\mc\src\game\GameManager.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\game\GetGameInfo.mjs", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 28
"y:\mc\src\game\LaunchOptions.mjs", "JavaScript", 126, 0, 0, 0, 0, 65, 17, 208
"y:\mc\src\game\LauncherHelper.mjs", "JavaScript", 61, 0, 0, 0, 0, 17, 5, 83
"y:\mc\src\game\launch.mjs", "JavaScript", 0, 0, 0, 0, 0, -3, 0, -3
"y:\mc\src\http\download.mjs", "JavaScript", -94, 0, 0, 0, 0, -18, -9, -121
"y:\mc\src\index.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\installer\DefaultGameInstaller.mjs", "JavaScript", 80, 0, 0, 0, 0, 31, 5, 116
"y:\mc\src\installer\FabricInstaller.mjs", "JavaScript", 20, 0, 0, 0, 0, 17, 2, 39
"y:\mc\src\installer\FileDownloader.mjs", "JavaScript", 158, 0, 0, 0, 0, 40, 7, 205
"y:\mc\src\installer\ForgeInstaller.mjs", "JavaScript", 39, 0, 0, 0, 0, 20, 2, 61
"y:\mc\src\installer\InstallerHelper.mjs", "JavaScript", 120, 0, 0, 0, 0, 47, 9, 176
"y:\mc\src\installer\LiteloaderInstaller.mjs", "JavaScript", 37, 0, 0, 0, 0, 25, 3, 65
"y:\mc\src\installer\ModInstaller.mjs", "JavaScript", 18, 0, 0, 0, 0, 17, 5, 40
"y:\mc\src\installer\OptifineInstaller.mjs", "JavaScript", 43, 0, 0, 0, 0, 17, 4, 64
"y:\mc\src\installer\QuiltInstaller.mjs", "JavaScript", 30, 0, 0, 0, 0, 23, 2, 55
"y:\mc\src\installer\fabric.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"y:\mc\src\installer\minecraft.mjs", "JavaScript", -168, 0, 0, 0, 0, -19, -12, -199
"y:\mc\src\instance\Mod.mjs", "JavaScript", 89, 0, 0, 0, 0, 0, 11, 100
"y:\mc\src\instance\Resourcepack.mjs", "JavaScript", 59, 0, 0, 0, 0, 0, 4, 63
"y:\mc\src\instance\Shaderpack.mjs", "JavaScript", 53, 0, 0, 0, 0, 0, 5, 58
"y:\mc\src\instance\Worlds.mjs", "JavaScript", 31, 0, 0, 0, 0, 0, 4, 35
"y:\mc\src\instance\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 14
"y:\mc\src\launch\Launcher.mjs", "JavaScript", 83, 0, 0, 0, 0, 0, 2, 85
"y:\mc\src\settings\GameInstallerSettings.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\utils\FileSystem.mjs", "JavaScript", 14, 0, 0, 0, 0, 4, 2, 20
"y:\mc\src\utils\Promisify.mjs", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"y:\mc\test.mjs", "JavaScript", -89, 0, 0, 0, 0, -7, -8, -104
"y:\mc\view\app\LoadConfigs.js", "JavaScript", 7, 0, 0, 0, 0, 25, 4, 36
"y:\mc\view\app\components\card.js", "JavaScript", 18, 0, 0, 0, 0, -3, 1, 16
"y:\mc\view\app\components\cardHeader.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7
"y:\mc\view\app\components\checkbox.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 25
"y:\mc\view\app\components\commandButton.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, -1
"y:\mc\view\app\components\listItem.js", "JavaScript", 41, 0, 0, 0, 0, 0, 1, 42
"y:\mc\view\app\components\page\AccountSetting.js", "JavaScript", -13, 0, 0, 0, 0, 0, 0, -13
"y:\mc\view\app\components\page\AdvancedSetting.js", "JavaScript", -12, 0, 0, 0, 0, 0, 0, -12
"y:\mc\view\app\components\page\DashboardPage.js", "JavaScript", -4, 0, 0, 0, 0, 0, -3, -7
"y:\mc\view\app\components\page\DownloadPage.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, -1
"y:\mc\view\app\components\page\DownloadSetting.js", "JavaScript", -10, 0, 0, 0, 0, 0, 0, -10
"y:\mc\view\app\components\page\GameSetting.js", "JavaScript", -23, 0, 0, 0, 0, 0, -2, -25
"y:\mc\view\app\components\page\GeneralSetting.js", "JavaScript", -9, 0, 0, 0, 0, 0, 0, -9
"y:\mc\view\app\components\page\Settings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\view\app\components\page\WareHouse.js", "JavaScript", 165, 0, 0, 0, 0, 0, 2, 167
"y:\mc\view\app\components\page\test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\view\app\components\sliderBar.js", "JavaScript", -5, 0, 0, 0, 0, 0, 0, -5
"y:\mc\view\app\components\tooltip.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 8
"y:\mc\view\app\core\auth.js", "JavaScript", -12, 0, 0, 0, 0, 0, -2, -14
"y:\mc\view\app\core\download.js", "JavaScript", 24, 0, 0, 0, 0, 4, 3, 31
"y:\mc\view\app\core\installer.js", "JavaScript", 85, 0, 0, 0, 0, 9, -1, 93
"y:\mc\view\app\i18n\loader.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 6
"y:\mc\view\app\i18n\zh_cn.js", "JavaScript", 61, 0, 0, 0, 0, 0, 1, 62
"y:\mc\view\app\onload.js", "JavaScript", 5, 0, 0, 0, 0, 10, 4, 19
"y:\mc\view\app\tools\LoadConfigs.js", "JavaScript", -8, 0, 0, 0, 0, -25, -4, -37
"y:\mc\view\app\view\Card.js", "JavaScript", 8, 0, 0, 0, 0, 1, 1, 10
"y:\mc\view\app\view\Control.js", "JavaScript", -5, 0, 0, 0, 0, 0, 0, -5
"y:\mc\view\app\view\Page.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"y:\mc\view\app\view\Sidebar.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 8
"y:\mc\view\assets\styles\animation.css", "CSS", 0, 0, 10, 0, 0, 9, 2, 21
"y:\mc\view\assets\styles\control.css", "CSS", 0, 0, -6, 0, 0, 0, 0, -6
"y:\mc\view\assets\styles\font-icon.css", "CSS", 0, 0, 28, 0, 0, 0, 9, 37
"y:\mc\view\assets\styles\font.css", "CSS", 0, 0, 4, 0, 0, 0, -1, 3
"y:\mc\view\assets\styles\index.css", "CSS", 0, 0, 197, 0, 0, 25, 39, 261
"y:\mc\view\index.html", "HTML", 0, -15, 0, 0, 0, 1, 0, -14
"y:\mc\view\renderer.js", "JavaScript", 50, 0, 0, 0, 0, 0, 6, 56
"y:\mc\view\vendor\ac-colors.min.js", "JavaScript", 0, 0, 0, 0, 0, -24, -1, -25
"y:\mc\view\vendor\jquery.js", "JavaScript", -3702, 0, 0, 0, 0, -1, 0, -3703
"y:\mc\view\vendor\vanilla-tilt.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
