"filename", "language", "JavaScript", "HTML", "CSS", "Markdown", "JSON", "Ignore", "XML", "comment", "blank", "total"
"y:\mc\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 24, 0, 25
"y:\mc\a.html", "HTML", 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"y:\mc\main.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 3, 4, 128
"y:\mc\package-lock.json", "JSON", 0, 0, 0, 0, 8915, 0, 0, 0, 1, 8916
"y:\mc\package.json", "JSON", 0, 0, 0, 0, 63, 0, 0, 0, 1, 64
"y:\mc\src\game\GameManager.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\game\GetGameInfo.mjs", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"y:\mc\src\game\LaunchOptions.mjs", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 65, 17, 208
"y:\mc\src\game\LauncherHelper.mjs", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 17, 5, 83
"y:\mc\src\game\launch.mjs", "JavaScript", 213, 0, 0, 0, 0, 0, 0, 13, 8, 234
"y:\mc\src\index.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\installer\DefaultGameInstaller.mjs", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 31, 5, 116
"y:\mc\src\installer\FabricInstaller.mjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 17, 2, 39
"y:\mc\src\installer\FileDownloader.mjs", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 40, 7, 205
"y:\mc\src\installer\ForgeInstaller.mjs", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 20, 2, 61
"y:\mc\src\installer\InstallerHelper.mjs", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 47, 9, 176
"y:\mc\src\installer\LiteloaderInstaller.mjs", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 25, 3, 65
"y:\mc\src\installer\ModInstaller.mjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 17, 5, 40
"y:\mc\src\installer\OptifineInstaller.mjs", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 17, 4, 64
"y:\mc\src\installer\QuiltInstaller.mjs", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 23, 2, 55
"y:\mc\src\instance\Mod.mjs", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 11, 100
"y:\mc\src\instance\Resourcepack.mjs", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"y:\mc\src\instance\Shaderpack.mjs", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 5, 58
"y:\mc\src\instance\Worlds.mjs", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
