"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"y:\mc\main.js", "JavaScript", -53, 0, 0, 0, 14, -1, -40
"y:\mc\package-lock.json", "JSON", 0, 0, 0, -5, 0, 0, -5
"y:\mc\package.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"y:\mc\src\game\GetGameInfo.mjs", "JavaScript", -24, 0, 0, 0, 0, -4, -28
"y:\mc\src\index.mjs", "JavaScript", 74, 0, 0, 0, 3, 1, 78
"y:\mc\src\installer\DefaultGameInstaller.mjs", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\installer\FabricInstaller.mjs", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\installer\FileDownloader.mjs", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\installer\ForgeInstaller.mjs", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\installer\InstallerHelper.mjs", "JavaScript", 0, 0, 0, 0, -1, 1, 0
"y:\mc\src\installer\LiteloaderInstaller.mjs", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\installer\QuiltInstaller.mjs", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\installer\index.mjs", "JavaScript", 2, 0, 0, 0, 17, 2, 21
"y:\mc\src\instance\InstanceManager.mjs", "JavaScript", 82, 0, 0, 0, 17, 8, 107
"y:\mc\src\instance\Mod.mjs", "JavaScript", 45, 0, 0, 0, 17, 2, 64
"y:\mc\src\instance\Resourcepack.mjs", "JavaScript", 4, 0, 0, 0, 17, 1, 22
"y:\mc\src\instance\Shaderpack.mjs", "JavaScript", -1, 0, 0, 0, 17, 1, 17
"y:\mc\src\instance\Worlds.mjs", "JavaScript", 56, 0, 0, 0, 17, 5, 78
"y:\mc\src\instance\index.js", "JavaScript", -13, 0, 0, 0, 0, -1, -14
"y:\mc\src\instance\index.mjs", "JavaScript", 176, 0, 0, 0, 17, 4, 197
"y:\mc\src\utils\FileSystem.mjs", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\src\utils\Promisify.mjs", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\LoadConfigs.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\components\card.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\components\cardHeader.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\components\checkbox.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\components\commandButton.js", "JavaScript", -2, 0, 0, 0, 17, 1, 16
"y:\mc\view\app\components\inputText.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\components\listItem.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\components\loading.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\components\page\AdvancedSetting.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2
"y:\mc\view\app\components\page\InstanceInfoPage.js", "JavaScript", 131, 0, 0, 0, 0, 3, 134
"y:\mc\view\app\components\page\MainPage.js", "JavaScript", 11, 0, 0, 0, 0, 2, 13
"y:\mc\view\app\components\page\Settings.js", "JavaScript", 26, 0, 0, 0, 9, 0, 35
"y:\mc\view\app\components\page\WareHouse.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"y:\mc\view\app\components\page\test.js", "JavaScript", 0, 0, 0, 0, 0, -1, -1
"y:\mc\view\app\components\sidebar.js", "JavaScript", 24, 0, 0, 0, 17, 2, 43
"y:\mc\view\app\components\sidebarItem.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\components\sliderBar.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\components\tooltip.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\core\auth.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\core\download.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\core\installer.js", "JavaScript", 0, 0, 0, 0, 17, 1, 18
"y:\mc\view\app\core\instance.mjs", "JavaScript", 0, 0, 0, 0, 0, 2, 2
"y:\mc\view\app\onload.js", "JavaScript", -1, 0, 0, 0, 17, 1, 17
"y:\mc\view\app\view\Sidebar.js", "JavaScript", -13, 0, 0, 0, 0, -3, -16
"y:\mc\view\assets\styles\animation.css", "CSS", 0, 129, 0, 0, 4, 34, 167
"y:\mc\view\assets\styles\index.css", "CSS", 0, 2, 0, 0, -6, -1, -5
"y:\mc\view\index.html", "HTML", 0, 0, 0, 0, 6, -1, 5
"y:\mc\view\renderer.js", "JavaScript", -4, 0, 0, 0, 0, -1, -5
"Total", "-", 524, 131, 0, -4, 454, 80, 1185
