"filename", "language", "Ignore", "JavaScript", "CSS", "HTML", "XML", "JSON", "Markdown", "comment", "blank", "total"
"y:\mc\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 24, 0, 25
"y:\mc\a.html", "HTML", 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"y:\mc\main.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 17, 3, 88
"y:\mc\package-lock.json", "JSON", 0, 0, 0, 0, 0, 8910, 0, 0, 1, 8911
"y:\mc\package.json", "JSON", 0, 0, 0, 0, 0, 64, 0, 0, 1, 65
"y:\mc\src\game\GameManager.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\game\LaunchOptions.mjs", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 65, 17, 208
"y:\mc\src\game\LauncherHelper.mjs", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 17, 5, 83
"y:\mc\src\game\launch.mjs", "JavaScript", 0, 213, 0, 0, 0, 0, 0, 13, 8, 234
"y:\mc\src\index.mjs", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 3, 2, 79
"y:\mc\src\installer\DefaultGameInstaller.mjs", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 31, 6, 117
"y:\mc\src\installer\FabricInstaller.mjs", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 17, 3, 40
"y:\mc\src\installer\FileDownloader.mjs", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 40, 8, 206
"y:\mc\src\installer\ForgeInstaller.mjs", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 20, 3, 62
"y:\mc\src\installer\InstallerHelper.mjs", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 46, 10, 176
"y:\mc\src\installer\LiteloaderInstaller.mjs", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 25, 4, 66
"y:\mc\src\installer\ModInstaller.mjs", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 17, 5, 40
"y:\mc\src\installer\OptifineInstaller.mjs", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 17, 4, 64
"y:\mc\src\installer\QuiltInstaller.mjs", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 23, 3, 56
"y:\mc\src\installer\index.mjs", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 17, 2, 21
"y:\mc\src\instance\InstanceManager.mjs", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 17, 8, 107
"y:\mc\src\instance\Mod.mjs", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 17, 13, 164
"y:\mc\src\instance\Resourcepack.mjs", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 17, 5, 85
"y:\mc\src\instance\Shaderpack.mjs", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 17, 6, 75
"y:\mc\src\instance\Worlds.mjs", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 17, 9, 113
"y:\mc\src\instance\index.mjs", "JavaScript", 0, 176, 0, 0, 0, 0, 0, 17, 4, 197
"y:\mc\src\launch\Launcher.mjs", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 2, 85
"y:\mc\src\settings\GameInstallerSettings.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\src\utils\FileSystem.mjs", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 21, 3, 38
"y:\mc\src\utils\Promisify.mjs", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 17, 3, 29
"y:\mc\view\app\LoadConfigs.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 42, 5, 54
"y:\mc\view\app\components\card.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 17, 3, 67
"y:\mc\view\app\components\cardHeader.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 17, 2, 48
"y:\mc\view\app\components\checkbox.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 17, 3, 76
"y:\mc\view\app\components\commandButton.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 17, 2, 39
"y:\mc\view\app\components\inputText.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 17, 3, 85
"y:\mc\view\app\components\listItem.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 17, 2, 60
"y:\mc\view\app\components\loading.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 17, 2, 32
"y:\mc\view\app\components\page\AccountSetting.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 2, 46
"y:\mc\view\app\components\page\AdvancedSetting.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 2, 65
"y:\mc\view\app\components\page\AppearanceSettings.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"y:\mc\view\app\components\page\DownloadPage.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"y:\mc\view\app\components\page\DownloadSetting.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 2, 52
"y:\mc\view\app\components\page\EasyuseSetting.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 3, 68
"y:\mc\view\app\components\page\GameSetting.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 3, 120
"y:\mc\view\app\components\page\GeneralSetting.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"y:\mc\view\app\components\page\InstanceInfoPage.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 3, 134
"y:\mc\view\app\components\page\MainPage.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"y:\mc\view\app\components\page\Settings.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 9, 2, 79
"y:\mc\view\app\components\page\WareHouse.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 4, 171
"y:\mc\view\app\components\sidebar.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 17, 4, 60
"y:\mc\view\app\components\sidebarItem.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 17, 2, 33
"y:\mc\view\app\components\sliderBar.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 17, 3, 86
"y:\mc\view\app\components\tooltip.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 17, 2, 26
"y:\mc\view\app\components\window\colorChooser.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 64
"y:\mc\view\app\components\window\gameInstall.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"y:\mc\view\app\components\window\msLogin.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"y:\mc\view\app\core\auth.js", "JavaScript", 0, 240, 0, 0, 0, 0, 0, 29, 11, 280
